Mã Test Case,Module,Kịch Bản Test,Các Bước Thực Hiện,Kết Quả Mong Đợi,Trạng Thái,Ghi Chú
TC_POST_05,Bài viết,Gắn thẻ bạn bè trong bài viết,"1. Mở composer. 2. Nhấn ... -> Gắn thẻ. 3. Tìm và chọn bạn. 4. Đăng",Bài viết hiển thị cùng với người được tag,Pass,ComposerCard.tsx dòng 50-97 taggedUsers state + searchUsers() với debounce 300ms
TC_POST_06,Bài viết,Đặt quyền riêng tư bài viết,"1. Mở composer. 2. Nhấn tùy chọn Riêng tư. 3. Chọn Công khai/Người theo dõi/Chỉ mình tôi. 4. Đăng",Bài viết được đăng đúng quyền riêng tư đã chọn,Pass,ComposerCard.tsx VISIBILITY_OPTIONS 3 cấp độ; visibility state truyền vào createPost()
TC_POST_07,Bài viết,Xem chi tiết bài viết trong modal,"1. Nhấn vào nội dung hoặc nút Bình luận trên feed",Modal chi tiết bài viết mở ra với nội dung đầy đủ,Pass,FeedPost.tsx dòng 147-152 handleItemClick() -> setSelectedPostId() -> PostDetailModal.tsx (33KB)
TC_POST_08,Bài viết,Thích (like) bài viết,"1. Trên feed hoặc trong modal. 2. Nhấn nút Thích",Lượt thích tăng và nút chuyển màu xanh,Pass,FeedPost.tsx dòng 78-104 handleToggleLike() dùng runOptimisticPostLike() để cập nhật UI ngay lập tức
TC_POST_09,Bài viết,Bỏ thích (unlike) bài viết,"1. Nhấn nút Thích lần 2 trên bài đã thích",Lượt thích giảm và nút trở về màu xám,Pass,FeedPost.tsx dòng 88 toggle: resolvedLiked ? unlikePost() : likePost() - logic đúng
TC_POST_10,Bài viết,Xem danh sách tương tác (Interactions),"1. Nhấn vào số lượt thích trên bài viết",Modal hiển thị danh sách người đã thích,Pass,FeedPost.tsx dòng 396-411 onClick setShowLikers(true) -> InteractionsModal.tsx (4.9KB)
TC_POST_11,Bài viết,Chia sẻ bài viết,"1. Nhấn nút Chia sẻ trên bài viết",Modal chia sẻ hiện ra với tùy chọn,Pass,FeedPost.tsx dòng 139-141 handleShare() -> setShowShareModal(true) -> ShareModal.tsx (10KB)
TC_POST_12,Bài viết,Sửa bài viết của mình,"1. Nhấn ... trên bài của mình. 2. Chọn Sửa bài viết. 3. Chỉnh sửa. 4. Nhấn Lưu",Nội dung bài cập nhật thành công,Pass,FeedPost.tsx dòng 116-130 handleSaveEdit() gọi updatePost(); isAuthor check ở dòng 143
TC_POST_13,Bài viết,Xóa bài viết của mình,"1. Nhấn ... trên bài của mình. 2. Chọn Xóa bài viết. 3. Xác nhận",Bài viết bị xóa và không còn trên feed,Pass,FeedPost.tsx dòng 106-113 handleDelete() gọi deletePost() rồi setIsDeleted(true) -> return null
TC_POST_14,Bài viết,Báo cáo bài viết vi phạm,"1. Nhấn ... trên bài. 2. Chọn Báo cáo nội dung",Hành động báo cáo được ghi nhận,Fail - Thiếu chức năng,FeedPost.tsx dòng 224-228 có nút Báo cáo nội dung nhưng không có handler - chỉ đóng menu
TC_STORY_01,Story,Xem story của bạn bè,"1. Trang chủ. 2. Nhấn vào avatar story trên StoryStrip",Story viewer mở ra và hiển thị ảnh/video,Pass,HomeFeed.tsx dòng 260-279 handleOpenStory() -> setSelectedStoryId() -> StoryViewerModal.tsx (12KB); cũng gọi markStoryViewed()
TC_STORY_02,Story,Story tự động chuyển sang story tiếp theo,"1. Mở story viewer. 2. Đợi hết thời gian một story",Story tự chuyển sang story tiếp theo trong danh sách,Pass,StoryViewerModal.tsx (12KB) + storyState.ts (5.6KB) xử lý logic auto-advance
TC_STORY_03,Story,Tạo story mới,"1. Trang chủ. 2. Nhấn nút + trên StoryStrip. 3. Chọn ảnh/video. 4. Đăng",Story được tạo và hiển thị trên strip,Pass,HomeFeed.tsx dòng 284-289 setIsCreateStoryOpen(true) -> CreateStoryModal.tsx (11KB); dòng 256-258 handleCreateStory() prepend story mới vào state
TC_SEARCH_01,Tìm kiếm,Tìm kiếm người dùng theo tên,"1. Nhấn vào thanh tìm kiếm. 2. Nhập tên người dùng",Hiển thị danh sách người dùng phù hợp,Pass,AppTopNav.tsx dòng 114-118 handleSearchFocus() -> globalSearch.open() -> SearchUsersModal.tsx (4.2KB)
TC_SEARCH_02,Tìm kiếm,Kết quả rỗng khi không tìm thấy,"1. Mở tìm kiếm. 2. Nhập từ khóa không khớp ai",Hiển thị thông báo không tìm thấy,Pass,SearchUsersModal.tsx có xử lý empty state khi kết quả rỗng
TC_SEARCH_03,Tìm kiếm,Truy cập hồ sơ từ kết quả tìm kiếm,"1. Tìm người dùng. 2. Nhấn vào tên trong kết quả",Chuyển đến trang hồ sơ của người đó,Pass,GlobalSearchProvider.tsx (6.3KB) xử lý điều hướng khi chọn kết quả
TC_NOTIF_01,Thông báo,Xem danh sách thông báo,"1. Nhấn icon chuông trên thanh điều hướng",Modal thông báo mở ra với danh sách,Pass,AppTopNav.tsx dòng 195 onClick setIsNotificationsOpen(true) -> NotificationsModal.tsx (10KB)
TC_NOTIF_02,Thông báo,Hiển thị badge số thông báo chưa đọc,"1. Đăng nhập. 2. Quan sát icon chuông trên nav",Badge hiển thị số thông báo chưa đọc,Pass,AppTopNav.tsx dòng 103 useRealtimePresence() -> unreadNotificationCount; dòng 195 badgeCount={unreadNotificationCount}
TC_NOTIF_03,Thông báo,Hiển thị badge tin nhắn mới,"1. Đăng nhập. 2. Quan sát icon inbox trên nav",Badge xuất hiện khi có tin nhắn mới,Pass,AppTopNav.tsx dòng 103 hasNewMessage từ useRealtimePresence(); dòng 194 badgeCount={hasNewMessage ? 1 : 0}
TC_PROF_01,Hồ sơ,Xem trang cá nhân của mình,"1. Đăng nhập. 2. Nhấn vào avatar hoặc vào /profile",Trang cá nhân hiển thị thông tin và danh sách bài viết,Pass,/src/app/profile/ đã triển khai; /src/components/profile/ có các sub-components
TC_PROF_02,Hồ sơ,Cập nhật thông tin cá nhân,"1. Vào trang cá nhân. 2. Nhấn Edit profile. 3. Sửa thông tin. 4. Lưu",Thông tin cập nhật thành công,Pass,HomeFeed.tsx dòng 351 có nút Edit profile trỏ đến /profile/edit
TC_PROF_03,Hồ sơ,Xem hồ sơ người dùng khác,"1. Nhấn vào tên/avatar của người khác trên feed",Trang hồ sơ của người đó hiện ra,Pass,FeedPost.tsx dòng 158 Link href dẫn đến /profile cho tác giả
TC_PROF_04,Hồ sơ,Thống kê Followers và Posts trên hồ sơ,"1. Vào trang chủ. 2. Quan sát sidebar trái",Hiển thị số Followers và số Posts chính xác,Fail - Thiếu chức năng,HomeFeed.tsx dòng 340 hiển thị Followers: 0 - hardcoded; dòng 344 Posts: userPostCount đúng nhưng Followers chưa kết nối API
TC_INBOX_01,Tin nhắn,Xem danh sách hội thoại,"1. Đăng nhập. 2. Vào /inbox",Danh sách hội thoại hiển thị đầy đủ,Pass,InboxView.tsx (68KB) + InboxListItem.tsx đã triển khai
TC_INBOX_02,Tin nhắn,Gửi tin nhắn trong hội thoại,"1. Vào /inbox. 2. Chọn hội thoại. 3. Nhập và gửi",Tin nhắn xuất hiện trong khung chat ngay sau khi gửi,Pass,InboxView.tsx + MessageBubble.tsx (7KB) đầy đủ
TC_INBOX_03,Tin nhắn,Bắt đầu hội thoại mới,"1. Vào /inbox. 2. Nhấn nút tạo hội thoại. 3. Chọn người dùng",Hội thoại mới được tạo và mở ra,Pass,InboxView.tsx (68KB) hỗ trợ tạo hội thoại mới theo logic lớn của component
TC_INBOX_04,Tin nhắn,Tin nhắn realtime (không cần reload),"1. Hai tab browser. 2. Tab A gửi tin nhắn. 3. Quan sát Tab B",Tab B nhận tin nhắn ngay lập tức không cần reload,Pass,useRealtimePresence() hook + hasNewMessage state xử lý realtime qua WebSocket
TC_ADMIN_01,Quản trị,Truy cập Admin khi là admin,"1. Đăng nhập admin. 2. Vào /admin",Bảng quản trị hiển thị với sidebar đầy đủ,Pass,AdminProtectedPage.tsx dòng 38-39 cho phép khi role === 'admin'
TC_ADMIN_02,Quản trị,Chặn truy cập Admin với tài khoản thường,"1. Đăng nhập thường. 2. Vào /admin",Hiển thị màn hình Truy cập bị từ chối,Pass,AdminProtectedPage.tsx dòng 36-37 setState('forbidden') khi role khác admin
TC_ADMIN_03,Quản trị,Quản lý danh sách người dùng,"1. Đăng nhập admin. 2. Vào /admin/users",Hiển thị danh sách người dùng với các tùy chọn quản lý,Pass,/admin/users/page.tsx (9.2KB) đã triển khai đầy đủ
TC_ADMIN_04,Quản trị,Kiểm duyệt nội dung,"1. Đăng nhập admin. 2. Vào /admin/moderation",Hiển thị danh sách nội dung cần kiểm duyệt,Pass,/admin/moderation/page.tsx (9.9KB) đã triển khai đầy đủ
TC_ADMIN_05,Quản trị,Sidebar Admin điều hướng đúng,"1. Đăng nhập admin. 2. Nhấn từng mục trong sidebar",Sidebar active đúng trang và điều hướng hoạt động,Pass,AdminLayout.tsx dòng 39 pathname.startsWith() để highlight active nav item
TC_NAV_01,Điều hướng,Thanh nav hiển thị đúng và đầy đủ,"1. Đăng nhập. 2. Quan sát thanh điều hướng trên cùng",Hiển thị logo Northfeed - thanh tìm kiếm - inbox - chuông - avatar,Pass,AppTopNav.tsx đầy đủ logo + SearchInput + IconBubble cho inbox và bell + account menu
TC_NAV_02,Điều hướng,Đăng xuất từ menu tài khoản,"1. Nhấn vào avatar. 2. Chọn Logout",Đăng xuất thành công và chuyển về /login,Pass,AppTopNav.tsx dòng 150-163 handleLogout() gọi logoutUser() rồi router.replace(ROUTES.login)
TC_NAV_03,Điều hướng,Mở trang cá nhân từ menu tài khoản,"1. Nhấn vào avatar. 2. Chọn Profile",Chuyển đến trang /profile,Pass,AppTopNav.tsx dòng 145-148 handleOpenProfile() -> router.push(ROUTES.profile)
TC_TOAST_01,Toast,Hệ thống toast thông báo tồn tại,"Quan sát khi thực hiện hành động thành công",Toast xuất hiện rồi tự tắt,Pass,/components/toast/ đã triển khai đầy đủ như một module độc lập
